,Occurence_Zemmour,Occurence_Mel,Occurence_Mac
centaines,10,33,13
travaillent,10,32,14
saoudite,10,18,10
agenda,10,11,25
formidable,10,8,18
toulouse,10,155,15
chrétiens,10,12,4
capable,10,41,7
équivalent,10,19,4
aider,10,53,76
sciences,10,32,3
cadeau,10,11,4
façon,10,45,7
présidents,10,26,7
priorité,10,22,72
enjeu,10,30,15
régime,10,164,20
remettre,10,31,14
nature,10,93,10
exprimer,10,20,16
prochaine,10,36,26
lyon,10,124,17
familles,10,53,91
industriel,10,9,16
accepté,10,28,5
menacés,10,16,11
mensonge,10,21,5
causes,10,43,6
gloire,10,11,4
repose,10,14,6
transparence,10,9,16
compétence,10,5,4
syrie,10,124,54
franceinfo,10,160,4
malades,10,16,7
semble,10,24,5
absence,10,15,4
table,10,43,16
venue,10,17,6
populations,10,16,32
critiquer,10,6,3
concurrence,10,30,10
attentats,10,20,17
ivg,10,28,3
italie,10,39,27
discussion,10,112,24
religieuse,10,7,3
signe,10,62,7
rouge,10,47,12
rétablir,10,54,19
collectif,10,59,37
dirigeants,10,52,23
protection,10,29,78
contraintes,10,8,8
siècles,10,12,5
candidats,10,69,19
quartier,10,24,15
essayé,10,17,4
remplacer,10,13,4
semaines,10,39,49
xavier,10,13,6
visiter,10,6,11
octobre,10,264,21
décision,10,121,22
impose,10,12,6
objet,10,37,12
bonnes,10,23,13
plein,10,95,23
nombre,10,108,36
libres,10,21,12
musulmane,10,3,6
excellente,10,6,9
échanges,10,28,59
publiques,10,72,11
commun,10,483,71
allemande,10,59,40
refaire,10,7,3
agression,10,24,5
supprimé,10,9,3
arabie,10,18,10
critères,10,3,6
départ,10,57,24
assume,10,23,8
issus,10,4,10
regardez,10,41,19
prêts,10,50,32
métier,10,35,13
parlementaire,10,177,13
aimer,10,14,9
charges,10,5,9
généraux,10,29,11
environnement,10,21,39
porte,10,135,69
explosion,10,23,11
auteurs,10,10,9
choisi,10,27,23
coups,10,54,3
sort,10,75,7
groupe,10,324,24
totale,10,41,15
rejoignez,10,103,10
georges,10,3,5
restaurer,10,13,10
bas,10,77,21
rencontré,10,14,10
dette,10,277,15
fini,10,44,5
augmenter,10,101,8
extraordinaire,10,10,6
défends,10,32,11
attention,10,129,4
acte,10,68,21
victor,10,15,6
carrière,10,21,3
donald,10,21,13
sortie,10,147,29
papier,10,17,4
arrivée,10,56,52
construction,10,45,25
demandé,10,60,21
organisations,10,40,11
bilan,10,74,8
profonde,10,8,34
majeur,10,16,8
affronter,10,26,7
conseils,10,3,5
montre,10,44,16
échec,10,62,17
religieux,10,23,3
créer,10,115,74
juifs,10,19,13
mettent,10,35,4
presidentielle,10,56,7
bons,10,15,9
inscrivez,10,7,6
régimes,10,17,7
sang,10,30,16
soutenir,10,173,59
deuxième,10,98,34
plusieurs,10,126,62
services,10,48,39
succès,10,42,24
hors,10,64,14
unité,10,77,73
étrangères,10,48,7
noël,10,30,13
régions,10,24,19
loin,10,43,46
traiter,10,36,9
salaires,10,128,5
frères,10,7,19
racine,10,5,7
chers,10,9,12
accepter,10,41,14
prévoir,8,17,3
efficace,8,30,32
absolue,8,28,16
pandémie,8,36,47
radio,8,53,3
venez,8,34,7
états,8,139,121
nations,8,19,44
domaine,8,15,9
certaines,8,19,7
tués,8,7,7
digne,8,14,10
privé,8,50,16
delà,8,26,33
préféré,8,9,3
arrêtons,8,5,3
hauteur,8,12,35
désert,8,4,4
mediapart,8,33,3
djihadisme,8,6,6
désaccord,8,8,5
impuissance,8,5,3
japon,8,14,21
entends,8,6,25
bloquer,8,54,5
déchéance,8,30,4
sommet,8,90,115
permanence,8,19,3
discussions,8,14,7
attaque,8,55,35
front,8,154,40
puisse,8,79,39
norme,8,3,5
arabes,8,14,5
réponds,8,7,24
fous,8,15,3
riche,8,41,5
corses,8,4,9
représentants,8,25,13
quels,8,23,4
efficacité,8,9,44
places,8,18,12
édition,8,83,8
écologique,8,287,49
habitude,8,15,5
mandat,8,83,14
effort,8,23,42
redevenir,8,6,3
franchi,8,12,6
défaite,8,18,7
présidente,8,58,5
maisons,8,6,18
faite,8,41,18
pères,8,3,5
zone,8,39,47
instant,8,49,41
court,8,27,7
républicaine,8,84,10
connaît,8,27,7
pensons,8,30,8
adapter,8,4,21
bras,8,33,5
méthode,8,45,25
clair,8,27,35
métiers,8,22,22
annoncer,8,8,10
écologiques,8,38,4
médecins,8,18,11
relation,8,14,55
distribution,8,29,3
pouvons,8,88,58
discriminations,8,7,8
parlement,8,336,30
scientifique,8,16,15
exceptionnel,8,9,15
vaccins,8,79,34
générale,8,118,23
fil,8,31,13
local,8,117,7
confiance,8,125,106
obtenir,8,25,14
jaune,8,13,5
toucher,8,5,3
allé,8,37,5
vies,8,12,82
personnel,8,32,6
administration,8,15,12
règles,8,41,34
profit,8,33,4
choc,8,34,4
rire,8,13,4
menaces,8,32,9
sein,8,14,17
uns,8,47,12
prochaines,8,11,32
sport,8,7,43
strasbourg,8,139,20
établir,8,12,5
présent,8,105,20
pacte,8,29,24
dos,8,42,4
présente,8,51,19
symbole,8,37,23
message,8,67,108
habitants,8,35,50
envers,8,12,14
berlin,8,22,25
industriels,8,5,15
air,8,105,11
poser,8,50,3
attend,8,24,8
professionnel,8,32,6
sexuelle,8,3,3
arrête,8,29,3
seuls,8,35,16
paysans,8,23,4
mercredi,8,353,5
regardent,8,10,3
concept,8,13,3
différences,8,3,8
églises,8,14,3
continuent,8,12,12
synthèse,8,4,3
budget,8,91,27
affection,8,14,3
combattu,8,3,3
représente,8,37,4
africains,8,7,19
soumis,8,15,3
sais,8,54,37
perte,8,17,8
allait,8,28,7
dangereux,8,59,5
association,8,20,11
arrive,8,70,21
devoir,8,120,51
racines,8,7,8
médaille,8,3,16
périodes,8,4,3
daniel,8,14,10
intéresse,8,34,4
vacances,8,8,17
redonner,8,9,29
appel,8,161,57
dame,8,37,24
violente,8,19,4
envie,8,39,19
étranger,8,32,25
essai,8,3,4
six,8,34,13
applique,8,29,3
décidé,8,80,53
inégalité,8,9,6
lits,8,14,3
relever,8,12,37
permanente,8,26,4
décider,8,43,10
agir,8,76,120
lequel,8,62,17
définition,8,8,3
rappelle,8,18,7
fasse,8,44,5
essentiel,8,26,27
jeancastex,8,3,4
application,8,46,17
joué,8,11,6
décisions,8,51,27
condamne,8,38,16
exception,8,12,6
frère,8,3,6
sahel,8,9,113
russe,8,39,13
menacée,8,15,6
trouvent,8,11,5
résistance,8,65,18
écrire,8,18,31
influence,8,5,3
pompiers,8,11,43
george,8,13,9
masque,8,12,6
but,8,57,19
abolition,8,48,9
marseillaise,8,36,10
vice,8,16,4
principes,8,34,23
lecture,8,31,7
subir,8,8,7
moderne,8,12,4
nôtre,8,22,23
qualité,8,42,12
témoignage,8,4,7
christian,8,10,4
commencent,8,7,3
lendemain,8,52,14
répression,8,41,3
soigner,8,11,8
recherche,8,67,52
ouest,8,17,10
joue,8,44,19
cap,8,13,11
portent,8,15,19
entendre,8,37,20
décembre,8,275,22
favoriser,8,3,5
boris,8,4,3
ouvrir,8,40,39
robert,8,13,10
nationales,8,18,10
matériel,8,19,12
entrer,8,43,11
deviennent,8,9,7
potentiel,8,5,3
restaurants,8,9,6
émancipation,8,8,27
mariage,8,14,3
dignité,8,46,26
éléments,8,14,5
études,8,31,3
éolien,8,8,6
moindre,8,15,4
relance,8,52,73
pouvez,8,76,33
conférence,8,729,157
urs,8,3,11
éthique,8,7,9
mai,8,538,51
hasard,8,8,4
arnaud,8,16,10
mises,8,8,4
doses,8,6,26
indépendante,6,49,7
effets,6,15,7
convention,6,224,26
rencontres,6,26,16
moyennes,6,6,23
regard,6,23,11
assassiné,6,14,6
centres,6,10,5
palais,6,15,9
relocaliser,6,21,4
pareil,6,25,3
pauvres,6,159,5
extérieur,6,11,9
tard,6,27,14
seine,6,15,8
videos,6,176,80
février,6,353,13
pro,6,20,5
rencontrer,6,33,10
respecté,6,12,4
orient,6,13,27
apprend,6,11,6
langues,6,10,6
avril,6,686,38
ong,6,13,11
exercer,6,12,5
criminel,6,10,4
ouagadougou,6,10,5
protégés,6,5,13
laissé,6,17,8
gendarmes,6,6,23
création,6,54,36
faudra,6,44,7
couple,6,6,12
intégration,6,8,13
reconnaît,6,11,6
planète,6,51,49
moments,6,14,28
mur,6,52,4
légitime,6,12,8
calais,6,21,13
trouvé,6,18,14
haute,6,22,8
achat,6,13,11
née,6,23,5
mars,6,843,27
trafiquants,6,3,7
oublie,6,20,19
milieux,6,17,3
tuent,6,16,4
prenne,6,6,4
démocraties,6,3,15
relancer,6,33,17
facile,6,11,9
tiens,6,9,9
durant,6,13,57
expliquer,6,20,13
montée,6,22,9
secrétaire,6,35,18
dépasse,6,8,4
poursuivre,6,7,44
agriculteurs,6,10,54
battus,6,6,11
chasse,6,16,3
seconde,6,14,13
lycées,6,10,5
fondamentaux,6,9,13
soldats,6,9,81
collectivement,6,3,20
sauvage,6,11,3
erreur,6,46,20
terrain,6,25,52
chiffre,6,17,3
retard,6,13,3
financière,6,51,8
intellectuels,6,9,5
cathédrale,6,13,4
marins,6,28,17
enfance,6,4,12
convergence,6,21,14
champion,6,4,8
verte,6,40,12
constitution,6,151,15
cancer,6,5,9
faisant,6,31,10
lié,6,14,4
complaisance,6,7,4
pape,6,26,3
maintenir,6,16,18
culturels,6,4,6
utiliser,6,32,9
protège,6,27,53
rupture,6,34,3
juive,6,4,3
humaine,6,90,12
publics,6,54,33
vienne,6,27,8
cannes,6,21,5
avis,6,62,6
fermeté,6,5,9
portes,6,17,11
apprendre,6,28,16
sanofi,6,22,4
engagés,6,18,62
abandon,6,12,5
education,6,6,4
continue,6,95,51
animaux,6,50,6
énergie,6,94,61
histoires,6,10,8
signifie,6,11,6
commerces,6,8,7
existent,6,22,9
intérieure,6,3,5
terrible,6,35,12
meilleures,6,5,6
mélange,6,8,5
mener,6,26,43
transformé,6,15,5
terroriste,6,25,47
thème,6,29,5
franco,6,19,95
nouvelles,6,74,56
espagne,6,54,24
accroître,6,3,7
intervient,6,7,3
entrepreneurs,6,7,47
écouter,6,34,12
mène,6,41,4
rendus,6,9,5
complet,6,33,6
reprendre,6,22,16
afghanistan,6,17,11
nationaliste,6,6,3
violent,6,22,3
considéré,6,4,3
entend,6,23,6
différents,6,12,9
donnent,6,22,4
figure,6,21,6
utilisation,6,40,11
appeler,6,26,9
marie,6,43,9
profiter,6,13,3
micro,6,3,5
paye,6,41,5
zones,6,11,21
diagnostic,6,5,7
blanche,6,13,7
premières,6,46,30
intervention,6,539,37
retraités,6,16,13
aimé,6,16,9
ancienne,6,23,6
routes,6,10,6
surveillance,6,14,5
organisé,6,57,6
inédit,6,16,15
totalement,6,22,6
vivant,6,12,15
règle,6,83,8
viens,6,33,10
objectifs,6,23,27
compter,6,17,24
bel,6,12,7
fondement,6,3,5
rome,6,19,9
répondre,6,79,78
médecin,6,6,5
frappe,6,16,8
proche,6,12,27
résoudre,6,4,10
paysage,6,12,3
réconciliation,6,5,5
arrêté,6,8,5
individuelles,6,6,4
définir,6,18,8
participé,6,25,8
réchauffement,6,11,26
rentrée,6,34,35
culte,6,17,3
course,6,9,7
consiste,6,26,9
frappé,6,14,7
promis,6,16,9
autonomie,6,43,17
accueilli,6,7,9
onu,6,110,41
plenel,6,4,3
amérique,6,41,7
opposition,6,131,3
total,6,65,8
détriment,6,6,3
compétences,6,6,15
exclusif,6,51,3
francetvinfo,6,19,5
alexandre,6,7,5
propositions,6,306,29
pouvait,6,19,6
soutiens,6,12,10
malgré,6,12,18
patron,6,33,5
lâcher,6,10,4
tester,6,19,3
vaccination,6,25,28
nationaux,6,15,6
rtl,6,539,11
décident,6,10,3
colère,6,38,39
indispensable,6,22,43
bobigny,6,22,5
actes,6,48,51
compagnie,6,6,8
transformer,6,19,35
montreuil,6,7,4
reçu,6,38,14
nationalisme,6,6,11
posez,6,26,6
parfaitement,6,6,5
accueille,6,11,10
fils,6,6,12
attaquent,6,5,4
usines,6,18,4
lancé,6,23,31
tours,6,5,4
troisième,6,96,5
valent,6,6,3
eau,6,383,7
images,6,79,8
combien,6,59,5
participer,6,91,19
atteint,6,19,7
félicitations,6,21,44
patrimoine,6,7,35
cessé,6,18,4
touche,6,11,6
incroyable,6,46,5
alerte,6,112,5
bord,6,24,7
problèmes,6,80,19
armées,6,30,58
énergies,6,67,21
libération,6,62,24
philosophie,6,11,7
engager,6,25,33
liés,6,11,21
consommation,6,33,3
engage,6,12,49
élysée,6,41,130
égard,6,18,24
stand,6,26,8
julien,6,12,4
new,6,7,11
sociétés,6,16,15
inde,6,8,15
envoyer,6,23,4
reprise,6,24,16
univers,6,5,4
york,6,6,3
remplace,6,3,3
méritent,6,9,6
post,6,31,4
samedi,6,423,19
gagner,6,70,34
journées,6,20,5
capitalisme,6,104,4
engagement,6,35,209
noire,6,11,4
affirmer,6,13,4
italien,6,12,10
corps,6,41,9
députés,6,232,7
ministère,6,51,16
forts,6,16,22
protègent,6,4,10
agi,6,4,9
paul,6,11,10
connu,6,30,14
largement,6,19,9
utile,6,67,12
transmettre,6,3,9
île,6,22,22
cherche,6,26,4
affaires,6,82,10
chance,6,28,43
via,6,20,5
meilleure,6,14,15
confinementjour,6,5,4
passent,6,35,6
pages,6,17,5
vrais,6,8,10
période,6,48,37
religions,6,52,7
château,6,8,9
piège,6,14,6
montrent,6,22,10
ferme,6,43,17
indispensables,6,15,10
pouvoirs,6,44,5
kaboul,6,4,6
sorti,6,12,3
prépare,4,28,5
accompagnement,4,3,11
précisément,4,5,4
numérique,4,104,87
nés,4,5,5
optimisme,4,6,6
vacciner,4,8,42
horreur,4,9,9
partagent,4,6,22
former,4,18,23
logements,4,30,13
suprême,4,8,3
rêver,4,10,21
citoyenneté,4,10,3
interdiction,4,44,8
soin,4,11,11
évident,4,8,3
intégrer,4,8,3
provence,4,25,12
achève,4,6,8
interventions,4,28,3
incendie,4,15,10
enfermer,4,3,5
bourdindirect,4,497,54
cadres,4,7,3
arriver,4,53,19
ouvre,4,37,21
devait,4,28,4
nommé,4,10,4
organisation,4,104,96
respectent,4,5,7
opération,4,27,28
connaître,4,25,7
émotion,4,12,23
guadeloupe,4,146,13
courageux,4,9,9
énormément,4,8,5
techniques,4,11,7
lançons,4,9,18
particuliers,4,7,4
véran,4,12,3
partageons,4,7,38
diplomatique,4,8,14
source,4,23,3
journée,4,187,69
tombé,4,8,7
pèsent,4,18,4
naufrage,4,22,3
conquête,4,9,15
parfois,4,39,47
parlementaires,4,84,12
républicaines,4,9,3
salles,4,18,8
économies,4,23,23
limiter,4,8,7
artisans,4,7,6
entendu,4,19,19
trouverez,4,3,5
neuf,4,20,3
mondial,4,42,76
nôtres,4,18,6
dehors,4,35,7
réelle,4,30,4
pollution,4,34,10
didier,4,4,4
espérance,4,23,23
rues,4,19,13
climatique,4,158,92
espoir,4,19,33
intégrité,4,3,3
traitement,4,33,5
risques,4,11,39
touchés,4,3,16
migrations,4,11,20
palestiniens,4,6,9
traité,4,143,20
hôtel,4,3,8
fédérale,4,5,10
tenus,4,6,8
utilisées,4,7,4
dîner,4,4,17
quelqu,4,87,11
produire,4,124,25
immédiatement,4,14,3
assure,4,7,7
prouve,4,13,4
voyage,4,13,10
compromis,4,17,4
fraternité,4,94,36
apporte,4,15,11
quitté,4,20,5
hausse,4,27,13
taxe,4,24,24
douleur,4,5,9
garder,4,14,10
échangé,4,3,10
vis,4,23,7
propriété,4,16,3
fabriqué,4,6,6
marchés,4,7,8
soignants,4,36,51
baissé,4,7,3
tenu,4,72,33
viande,4,10,5
organisée,4,69,4
précédent,4,20,11
petites,4,23,6
dizaines,4,31,8
tunisie,4,50,24
intervenir,4,15,3
enthousiasme,4,13,6
cinéma,4,7,14
retrouvé,4,7,3
pourront,4,18,17
positions,4,7,5
savait,4,12,7
nationalistes,4,5,15
termes,4,7,14
travaillé,4,9,11
annoncé,4,32,18
déficit,4,20,8
amoureux,4,4,3
dois,4,18,5
réseau,4,36,9
connais,4,14,3
socialement,4,4,3
assemblée,4,918,33
ursula,4,3,5
changement,4,205,39
humains,4,109,18
privée,4,53,4
lancer,4,27,15
bioéthique,4,6,5
complète,4,141,5
supérieur,4,19,11
conflits,4,14,9
terribles,4,3,5
coupe,4,8,10
manifestation,4,174,4
offre,4,41,19
neutre,4,28,5
créé,4,149,23
continuité,4,6,5
défenseurs,4,5,3
entré,4,13,4
révolutions,4,38,3
mesdames,4,6,4
présentation,4,72,9
concernés,4,3,4
suivi,4,24,12
ramener,4,13,5
panthéon,4,5,16
secteurs,4,20,21
angoisse,4,9,3
postes,4,52,6
membres,4,45,53
décide,4,45,9
financier,4,34,4
match,4,11,7
commencé,4,74,7
moscou,4,22,5
adresser,4,12,8
souhaitons,4,4,12
port,4,37,13
clé,4,15,18
voyez,4,26,4
quitte,4,18,4
connaissance,4,9,7
processus,4,65,12
posé,4,12,9
laissera,4,4,3
renouvelables,4,47,4
appelé,4,67,8
milieu,4,14,11
régionale,4,10,6
artistes,4,13,22
libérer,4,21,26
engagent,4,7,32
directs,4,4,3
catastrophes,4,5,3
chercher,4,37,14
pau,4,60,14
grenoble,4,40,3
occuper,4,23,3
irak,4,18,18
suisse,4,12,6
veille,4,37,10
domaines,4,16,7
souffre,4,9,3
joebiden,4,3,4
hégémonie,4,4,4
mer,4,272,57
erreurs,4,9,8
défis,4,15,93
immobilier,4,4,4
combats,4,17,42
martyr,4,5,4
internationales,4,13,8
large,4,15,12
subi,4,7,3
domicile,4,28,9
status,4,6,11
vol,4,8,5
certain,4,26,4
proposition,4,179,4
considérer,4,13,3
the,4,10,86
améliorer,4,19,21
voter,4,215,14
films,4,4,4
usine,4,27,24
passées,4,7,6
présidentielles,4,9,3
souvenir,4,14,31
résisté,4,4,4
vise,4,7,3
sources,4,5,3
titre,4,27,17
logement,4,75,17
assurer,4,24,44
fermeture,4,20,8
assad,4,4,16
afin,4,32,18
cinquième,4,6,6
faute,4,37,7
pib,4,27,6
anniversaire,4,139,34
chanson,4,7,4
travailleurs,4,144,32
désaccords,4,6,6
directement,4,23,5
type,4,37,4
peau,4,32,3
joie,4,9,12
servir,4,22,15
mobilisation,4,121,57
compassion,4,15,3
étude,4,9,3
résister,4,21,4
demandes,4,15,3
quart,4,4,6
église,4,12,6
renault,4,27,4
gérard,4,12,3
gilles,4,14,4
méditerranée,4,40,36
adressé,4,5,3
remise,4,13,16
porté,4,20,25
trafics,4,8,5
décès,4,22,9
sanctions,4,23,4
défendu,4,75,8
bloc,4,10,16
pensé,4,8,5
tué,4,18,5
incendies,4,6,15
jeux,4,19,33
données,4,12,6
avancée,4,20,17
proches,4,26,83
secteur,4,27,33
modèles,4,5,3
départements,4,6,7
préfère,4,27,3
auprès,4,20,16
installe,4,9,4
proposer,4,76,20
attentat,4,33,17
passion,4,3,7
inédite,4,5,18
têtes,4,18,3
quinze,4,4,6
résumé,4,6,4
organisent,4,28,4
mensonges,4,30,12
victoires,4,3,4
adopter,4,8,8
mettons,4,32,9
fier,4,16,32
attends,4,10,7
ère,4,147,12
indignation,4,12,8
assumer,4,23,7
acceptons,4,12,4
connaissons,4,7,8
sophie,4,10,7
prière,4,3,4
impôt,4,125,14
radicalisation,4,4,4
vols,4,4,3
peser,4,10,6
bénéficient,4,3,3
agricole,4,30,27
littérature,4,6,9
réalisé,4,53,3
casser,4,4,4
payé,4,29,11
justifier,4,5,4
mesurer,4,6,3
bayrou,4,20,10
compatible,4,23,5
menacent,4,11,5
répéter,4,12,3
leaders,4,7,11
péril,4,11,5
code,4,124,3
quotidienne,4,14,9
supprime,4,12,6
élégance,4,5,3
battent,4,24,10
majeure,4,10,8
finances,4,42,6
libye,4,11,51
accords,4,35,25
actuel,4,22,5
ben,4,6,4
levée,4,26,7
assassinat,4,23,4
amiens,4,50,21
remercie,4,21,14
fonctionne,4,25,7
soigne,4,4,4
lumière,4,28,12
privés,4,14,8
live,4,320,315
demi,4,16,11
systèmes,4,8,10
préserver,4,12,20
inventer,4,16,14
professeurs,4,4,4
fruit,4,8,14
sept,4,45,5
bouge,4,5,5
allemand,4,128,37
réunification,4,3,4
franc,4,3,12
manche,4,3,3
challenges,4,5,13
lieux,4,29,13
lecteurs,4,8,3
geste,4,6,12
quatre,4,36,32
réduction,4,16,7
tourisme,4,3,9
claude,4,21,10
étape,4,23,56
croissance,4,11,27
pari,4,9,3
tenté,4,4,3
fondamentale,4,23,3
injuste,4,21,6
lance,4,50,11
interviews,4,3,3
vécu,4,9,15
participation,4,55,7
quitter,4,16,13
urgent,4,12,5
professionnels,4,16,14
universelle,4,28,5
locales,4,12,11
you,4,18,9
britannique,4,11,23
adieu,4,8,7
appartenance,4,5,4
appelez,4,7,6
forces,4,60,102
édouard,4,28,3
destruction,4,21,4
mené,4,11,16
ouverture,4,45,70
offert,4,5,3
base,4,63,29
faille,4,7,6
lettres,4,6,5
campagnes,4,21,4
naïveté,4,3,5
silence,4,53,14
futures,4,4,6
puissions,4,8,8
feront,4,15,5
puissances,4,10,12
centrales,4,27,7
solutions,4,41,62
territoriale,4,7,11
combattent,4,6,3
regarder,4,92,34
tunisien,4,8,4
pointe,4,19,8
lemonde,4,33,5
fondateur,4,15,13
transports,4,26,3
traduction,4,4,5
route,4,83,46
personnalités,4,18,4
investit,4,5,8
dur,4,16,6
obsession,4,7,3
fiscalité,4,6,6
alstom,4,67,7
organiser,4,80,16
opérations,4,9,21
dépenses,4,21,5
plateforme,4,50,4
outil,4,22,5
abonnez,4,26,8
usage,4,36,7
britanniques,4,9,16
subissent,4,8,5
humain,4,159,15
cohérent,4,11,6
nuit,4,52,34
exécutif,4,11,4
situations,4,15,8
misère,4,45,7
rassemblements,4,11,3
répond,4,146,19
apporter,4,21,46
présenter,4,45,8
remercier,4,10,8
lève,4,14,4
signé,4,61,8
devez,4,20,6
alger,4,3,3
fhollande,4,19,5
criminalité,4,3,3
grèce,4,340,22
fonds,4,30,32
arrivé,4,20,20
bretagne,4,16,10
mains,4,42,15
las,4,4,3
cesser,4,45,5
paraître,4,4,4
maladie,4,24,10
tournée,4,9,13
déplacement,4,29,15
respectée,4,9,5
visages,4,5,27
seules,4,10,8
tristesse,4,6,16
crises,4,9,31
distribuer,4,10,3
fondamental,4,18,5
effet,4,63,11
attachés,4,3,6
existence,4,24,5
fera,4,58,19
complexe,4,4,7
